nombre,codigo,idE
ae pafos:ae kition,1344,649859
omonia:ae zakakiou,1345,649862
othellos athienou:apoel,1346,649863
national bank of egypt sc:zamalek,1348,649864
talaea el gaish:future fc,1349,649865
banik ostrava:pardubice,1347,649866
vilniaus riteriai:fc hegelmann litauen kaunas,1355,649868
cologne (am):werberg-beeck,1352,649870
maccabi bney reine:ashdod,1354,649871
algeciras:cordoba,1350,649872
sestao river:cornella,1351,649873
javor matis:fk zeleznicar pancevo,1360,649874
orlando pirates:mamelodi sundowns,1359,649875
hodd:kristiansund,1357,649876
krasnodar:rostov,1358,649877
thun:neuchatel xamax,1363,649878
yverdon:grasshoppers,1361,649879
al jazeera:shabab al ahli dubai club,1367,649880
zurich:winterthur,1362,649881
mfk skalica:fk kosice,1364,649882
zemplin:zilina,1365,649884
eyupspor:bodrumspor,1366,649885
westerlo:kortrijk,457,648516
pontypridd town:haverfordwest county,1060,649671
crystal palace:nottingham f,205,648429
mallorca:valencia,229,648455
werder bremen:hoffenheim,241,648466
flora tallinn:fc kuressaare,1370,649883
rijeka:hajduk split,1368,649886
racing santander:sporting gijon,1369,649887
hapoel hadera:maccabi petach tikva,1372,649888
ac trento:lumezzane,1373,649889
atalanta bc (u23):albinoleffe,1374,649890
dorking wanderers:barnet,1371,649891
fc arzignano valchiampo:vecomp verona,1375,649892
padova:pro patria,1376,649893
partizan belgrade:mladost lucani,1378,649894
falkirk:hamilton,1377,649900
atlanta:quilmes,1379,649899
almere city:waalwijk,468,648526
hapoel bnei sakhnin:maccabi netanya,1381,649901
valenciennes:troyes,422,648481
amiens:angers,337,648482
guingamp:grenoble,424,648483
st etienne:ajaccio,425,648484
paris fc:auxerre,426,648485
rodez aveyron:caen,427,648486
quevilly:pau fc,428,648487
concarneau:dunkerque,429,648488
bastia:annecy fc,430,648489
braga:rio ave,478,648536
hapoel petah tikva:beitar jerusalem,1386,649903
cd teruel:cd arenteiro,1385,649905
pacos ferreira:vilaverdense fc,1389,649910
cherno more:lokomotiv plovdiv,1392,649908
atletico sanluqueno cf:ud ibiza eivissa,1209,649727
fc versailles 78:cholet,1394,649915
depor municipal:cienciano,537,648140
go ahead eagles:heracles,467,648525
o higgins:univ catolica,563,648589
san telmo:ca guemes (se),1398,649916
tecnico universitario:orense sc,1401,649918
logrones sd:unionistas cf,1403,649919
cd castellon:real madrid b,1402,649920
merida:antequera cf,1404,649921
al khaleej:al raed,1405,649922
liverpool montevideo:montevideo wanderers,1409,649923
al wehda:al faiha,1406,649924
ruch chorzow:pogon szczecin,1407,649925
wisla plock:arka gdynia,1408,649927
maribor:ns mura,1412,649929
st pauli:nurnberg,436,648495
tombense mg:juventude rs,586,648607
almagro:patronato,1769,649504
tristan suarez:brown de adrogue,1414,649930
kecskemeti:paksi,1415,649932
botosani:steaua,1416,649933
st gallen:fc stade ls ouchy,1417,649936
genoa:milan,220,648446
anderlecht:mechelen,461,648520
sevilla:rayo vallecano,230,648456
reims:monaco,250,648473
vitesse:excelsior,469,648527
goias:bahia,569,648595
fortaleza fc:bogota,1420,649935
agropecuario:gimnasia mendoza,1419,649938
leganes:oviedo,1421,649941
estoril:benfica,477,648535
san lorenzo:newells old boys,532,648574
deportivo garcilaso:depor cantolao,545,648141
botafogo ribeirao:avai,587,648608
sampaio correa:novorizontino,588,648609
univ de chile:everton de vina,565,648590
emelec:cumbaya fc,1436,649939
cortulua:patriotas,1434,649952
real san andres:barranquilla fc,1435,649953
guarani sp:vila nova,589,648610
chaco for ever:deportivo madryn,1437,649216
envigado:deportes pereira,1440,649219
guairena:libertad,1447,649225
atl temperley:depor moron,1444,649222
vasco da gama:sao paulo,570,648596
penarol:defensor sporting,1445,649224
estudiantes lp:godoy cruz,533,648575
lanus:defensa justicia,534,648576
charleston:miami fc,1446,649221
loudoun united fc:detroit city,1448,649223
coquimbo:union espanola,564,648591
monterrey:juarez fc,580,648837
aucas:barcelona gua,1456,649233
magdalena:atl nacional,1458,649240
atlanta utd:columbus,501,648823
orlando city:new england,504,648824
montreal:portland,536,648825
dc united:new york city,539,648827
philadelphia:nashville sc,540,648828
new york:toronto,542,648830
inter miami cf:cincinnati,556,648834
louisville:hartford athletic,1459,649235
tampa bay rowdies:pittsburgh,1460,649236
nacional asuncion:olimpia asuncion,1467,649247
corinthians:flamengo,571,648597
memphis 901 fc:el paso locomotive fc,1463,649239
rio grande:sacramento republic fc,1464,649241
argentinos jr:independiente,535,648577
central cordoba (se):ca tigre,549,648578
houston:colorado,538,648826
chicago:charlotte fc,541,648829
minnesota utd:los angeles,546,648832
dallas:san jose,555,648833
austin fc:los angeles fc,561,648835
tulsa:indy eleven,1466,649243
pachuca:tigres uanl,593,648838
guadalajara:atlas,598,648839
